Epoch 1/400: [===============] 100% | Error 5.5055 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 8.09684 | Acc: 0 AT 19.9994 | val_Acc 0 | val_AT 19.9995| nb_modif 1 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.2427 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.5539 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.1796 | Acc: 0.000555556 AT 19.9972 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 29.7673 | Acc: 0.0194444 AT 19.6989 | val_Acc 0.04 | val_AT 19.385| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 31.0792 | Acc: 0.0744444 AT 18.8133 | val_Acc 0.04 | val_AT 19.3119| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 31.7302 | Acc: 0.127778 AT 17.8478 | val_Acc 0.275 | val_AT 15.3816| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.0426 | Acc: 0.361667 AT 13.9817 | val_Acc 0.345 | val_AT 14.0219| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.2676 | Acc: 0.52 AT 11.2911 | val_Acc 0.6 | val_AT 9.87511| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.51716 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 8.22221 | Acc: 0 AT 19.9978 | val_Acc 0 | val_AT 19.9995| nb_modif 1 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.5497 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 21.4472 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.7519 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 15 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.3277 | Acc: 0.00444444 AT 19.9283 | val_Acc 0.025 | val_AT 19.58| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 31.578 | Acc: 0.0627778 AT 18.9933 | val_Acc 0.075 | val_AT 18.7379| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.1873 | Acc: 0.107778 AT 18.1767 | val_Acc 0.2 | val_AT 16.5487| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.4732 | Acc: 0.357778 AT 13.9689 | val_Acc 0.535 | val_AT 11.0477| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.6156 | Acc: 0.548333 AT 10.7783 | val_Acc 0.595 | val_AT 10.0152| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.48491 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 8.12012 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 1 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.2416 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 20.8442 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 26.7794 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 15 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 29.1524 | Acc: 0.0227778 AT 19.6517 | val_Acc 0.075 | val_AT 18.825| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 30.277 | Acc: 0.108889 AT 18.2394 | val_Acc 0.09 | val_AT 18.3791| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 30.8643 | Acc: 0.13 AT 17.7856 | val_Acc 0.245 | val_AT 16.0269| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 31.1426 | Acc: 0.397222 AT 13.3583 | val_Acc 0.605 | val_AT 9.74013| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 31.3504 | Acc: 0.546667 AT 10.7861 | val_Acc 0.59 | val_AT 9.9887| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.45767 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.6393 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.3118 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.7218 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
