Epoch 1/400: [===============] 100% | Error 8.0599 | Acc: 0.00611111 AT 19.8456 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 18.003 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 30.6294 | Acc: 0.00333333 AT 19.9811 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 40.0634 | Acc: 0.0155556 AT 19.8872 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 5 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.7754 | Acc: 0.0177778 AT 19.805 | val_Acc 0.07 | val_AT 18.88| nb_modif 11 | env_th 5 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 44.7779 | Acc: 0.362778 AT 13.9544 | val_Acc 0.55 | val_AT 10.8294| nb_modif 8 | env_th 5 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 45.1663 | Acc: 0.584444 AT 10.1483 | val_Acc 0.58 | val_AT 10.0591| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 45.322 | Acc: 0.698889 AT 8.33833 | val_Acc 0.72 | val_AT 8.1253| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 45.4654 | Acc: 0.732222 AT 8.12333 | val_Acc 0.68 | val_AT 9.17563| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 45.5699 | Acc: 0.683889 AT 8.97611 | val_Acc 0.665 | val_AT 9.25588| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 45.6701 | Acc: 0.612778 AT 10.0211 | val_Acc 0.45 | val_AT 12.5663| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 45.7584 | Acc: 0.486111 AT 11.95 | val_Acc 0.54 | val_AT 11.0228| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 45.8384 | Acc: 0.462222 AT 12.3317 | val_Acc 0.455 | val_AT 12.3551| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 45.888 | Acc: 0.497222 AT 11.5122 | val_Acc 0.49 | val_AT 11.5318| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 45.9208 | Acc: 0.498333 AT 11.4056 | val_Acc 0.7 | val_AT 8.05266| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 45.9468 | Acc: 0.626111 AT 9.35722 | val_Acc 0.545 | val_AT 10.8303| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 45.9811 | Acc: 0.562222 AT 10.5267 | val_Acc 0.605 | val_AT 9.88915| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 45.9981 | Acc: 0.606667 AT 10 | val_Acc 0.665 | val_AT 8.97945| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 46.0106 | Acc: 0.711111 AT 8.16389 | val_Acc 0.72 | val_AT 8.0849| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 46.0211 | Acc: 0.688889 AT 8.48667 | val_Acc 0.625 | val_AT 9.48542| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 46.0324 | Acc: 0.631111 AT 9.46667 | val_Acc 0.585 | val_AT 10.3024| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 46.042 | Acc: 0.62 AT 9.70611 | val_Acc 0.575 | val_AT 10.4315| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 46.0506 | Acc: 0.61 AT 9.96389 | val_Acc 0.675 | val_AT 9.12216| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 46.0571 | Acc: 0.68 AT 8.90111 | val_Acc 0.645 | val_AT 9.43561| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 46.0631 | Acc: 0.636667 AT 9.62778 | val_Acc 0.745 | val_AT 8.04718| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 46.0708 | Acc: 0.600556 AT 10.47 | val_Acc 0.605 | val_AT 10.2552| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 46.0776 | Acc: 0.678333 AT 9.24944 | val_Acc 0.715 | val_AT 8.65128| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 46.0831 | Acc: 0.725556 AT 8.555 | val_Acc 0.75 | val_AT 7.99326| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 46.1127 | Acc: 0.563333 AT 11.0183 | val_Acc 0.54 | val_AT 11.165| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 46.1201 | Acc: 0.532778 AT 11.4672 | val_Acc 0.52 | val_AT 11.4908| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 46.1728 | Acc: 0.536111 AT 11.2567 | val_Acc 0.51 | val_AT 11.9275| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 46.1813 | Acc: 0.482222 AT 12.3006 | val_Acc 0.52 | val_AT 11.4646| nb_modif 8 | env_th 5 | elaps: 1s
Epoch 33/400: [===============] 100% | Error 46.188 | Acc: 0.565 AT 10.6261 | val_Acc 0.62 | val_AT 9.39232| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 46.1936 | Acc: 0.619444 AT 9.31833 | val_Acc 0.75 | val_AT 6.85696| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 46.222 | Acc: 0.703333 AT 7.70722 | val_Acc 0.69 | val_AT 7.68928| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 46.2266 | Acc: 0.67 AT 8.15222 | val_Acc 0.735 | val_AT 6.88845| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 46.2325 | Acc: 0.680556 AT 7.94667 | val_Acc 0.73 | val_AT 6.93444| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 46.2766 | Acc: 0.693333 AT 7.70556 | val_Acc 0.755 | val_AT 6.66467| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 46.2858 | Acc: 0.641111 AT 8.60444 | val_Acc 0.61 | val_AT 8.86332| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 46.3142 | Acc: 0.586667 AT 9.16333 | val_Acc 0.61 | val_AT 8.57432| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 46.3442 | Acc: 0.580556 AT 9.19 | val_Acc 0.57 | val_AT 9.39287| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 46.3503 | Acc: 0.633889 AT 8.38 | val_Acc 0.63 | val_AT 8.39196| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 46.3549 | Acc: 0.693333 AT 7.34167 | val_Acc 0.685 | val_AT 7.40196| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 46.3598 | Acc: 0.696111 AT 7.19 | val_Acc 0.67 | val_AT 7.54701| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 46.3647 | Acc: 0.709444 AT 6.83111 | val_Acc 0.71 | val_AT 6.68774| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 46.368 | Acc: 0.743889 AT 6.09444 | val_Acc 0.745 | val_AT 5.98344| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 46.3723 | Acc: 0.736667 AT 6.21111 | val_Acc 0.735 | val_AT 6.20492| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 46.3781 | Acc: 0.699444 AT 6.86889 | val_Acc 0.685 | val_AT 7.00602| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 46.4039 | Acc: 0.680556 AT 7.13611 | val_Acc 0.695 | val_AT 6.78503| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 46.408 | Acc: 0.706111 AT 6.65278 | val_Acc 0.695 | val_AT 6.76893| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 46.4121 | Acc: 0.716111 AT 6.48556 | val_Acc 0.745 | val_AT 5.91384| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 46.4267 | Acc: 0.742222 AT 6.06444 | val_Acc 0.775 | val_AT 5.29957| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 46.4525 | Acc: 0.768333 AT 5.50278 | val_Acc 0.775 | val_AT 5.2465| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.03199 | Acc: 0.005 AT 19.89 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.3177 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 30.7171 | Acc: 0.00111111 AT 19.9878 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 39.3797 | Acc: 0.0227778 AT 19.8244 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 5 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 42.7058 | Acc: 0.0733333 AT 18.9261 | val_Acc 0.17 | val_AT 17.47| nb_modif 11 | env_th 5 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 43.7046 | Acc: 0.302778 AT 15.0133 | val_Acc 0.48 | val_AT 11.8524| nb_modif 8 | env_th 5 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.1039 | Acc: 0.531111 AT 11.0217 | val_Acc 0.555 | val_AT 10.4293| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 44.2837 | Acc: 0.625556 AT 9.54 | val_Acc 0.675 | val_AT 8.77215| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 44.3948 | Acc: 0.728889 AT 8.02944 | val_Acc 0.725 | val_AT 8.24386| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 44.4634 | Acc: 0.738333 AT 7.95056 | val_Acc 0.835 | val_AT 6.27122| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 44.5327 | Acc: 0.725556 AT 8.21 | val_Acc 0.665 | val_AT 9.07136| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 44.5975 | Acc: 0.656667 AT 9.29556 | val_Acc 0.69 | val_AT 8.73536| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 44.649 | Acc: 0.575556 AT 10.7278 | val_Acc 0.465 | val_AT 12.4237| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 44.6914 | Acc: 0.533333 AT 11.5717 | val_Acc 0.43 | val_AT 13.2121| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 44.7307 | Acc: 0.507778 AT 11.8822 | val_Acc 0.5 | val_AT 12.0061| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 44.7787 | Acc: 0.580556 AT 10.7811 | val_Acc 0.555 | val_AT 11.19| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 44.7993 | Acc: 0.548889 AT 11.3361 | val_Acc 0.64 | val_AT 10.031| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 44.8373 | Acc: 0.577778 AT 10.9811 | val_Acc 0.575 | val_AT 10.8452| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 44.8548 | Acc: 0.517778 AT 11.69 | val_Acc 0.52 | val_AT 11.7992| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 44.8692 | Acc: 0.508889 AT 11.8383 | val_Acc 0.535 | val_AT 11.249| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 44.8815 | Acc: 0.474444 AT 12.29 | val_Acc 0.5 | val_AT 11.8862| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 44.8921 | Acc: 0.542778 AT 11.3489 | val_Acc 0.54 | val_AT 11.4944| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 44.8988 | Acc: 0.648333 AT 9.71778 | val_Acc 0.77 | val_AT 7.46747| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 44.905 | Acc: 0.686667 AT 9.04222 | val_Acc 0.64 | val_AT 9.81234| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 44.912 | Acc: 0.658889 AT 9.59667 | val_Acc 0.77 | val_AT 7.95906| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 44.9176 | Acc: 0.718333 AT 8.67722 | val_Acc 0.655 | val_AT 9.4198| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 44.924 | Acc: 0.617222 AT 10.1306 | val_Acc 0.555 | val_AT 11.2921| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 44.9302 | Acc: 0.556667 AT 11.1889 | val_Acc 0.545 | val_AT 11.2065| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 44.9376 | Acc: 0.57 AT 10.9133 | val_Acc 0.535 | val_AT 11.596| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 44.945 | Acc: 0.490556 AT 11.9828 | val_Acc 0.43 | val_AT 12.678| nb_modif 7 | env_th 5 | elaps: 0s
