Epoch 1/400: [===============] 100% | Error 5.64203 | Acc: 0.000555556 AT 19.9889 | val_Acc 0 | val_AT 19.9| nb_modif 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 13.5186 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 21.87 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 28.9022 | Acc: 0.000555556 AT 19.995 | val_Acc 0 | val_AT 20| nb_modif 5 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 33.9792 | Acc: 0.01 AT 19.8528 | val_Acc 0.005 | val_AT 19.92| nb_modif 7 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 35.8995 | Acc: 0.0455556 AT 19.2006 | val_Acc 0.19 | val_AT 16.6146| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 36.4908 | Acc: 0.347222 AT 13.9906 | val_Acc 0.565 | val_AT 10.2831| nb_modif 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 36.7078 | Acc: 0.623889 AT 9.31722 | val_Acc 0.63 | val_AT 9.21642| nb_modif 3 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 36.8657 | Acc: 0.746667 AT 7.27111 | val_Acc 0.88 | val_AT 4.92108| nb_modif 3 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 36.9921 | Acc: 0.706667 AT 7.98444 | val_Acc 0.845 | val_AT 5.60461| nb_modif 3 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 37.1169 | Acc: 0.700556 AT 8.00222 | val_Acc 0.61 | val_AT 9.66802| nb_modif 3 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 37.1744 | Acc: 0.725556 AT 7.69333 | val_Acc 0.82 | val_AT 6.12334| nb_modif 2 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 37.2438 | Acc: 0.737778 AT 7.52111 | val_Acc 0.715 | val_AT 7.87062| nb_modif 3 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 37.3225 | Acc: 0.738889 AT 7.60278 | val_Acc 0.585 | val_AT 10.1994| nb_modif 3 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 37.3981 | Acc: 0.596667 AT 10.1661 | val_Acc 0.53 | val_AT 11.171| nb_modif 4 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 37.4412 | Acc: 0.543333 AT 11.0933 | val_Acc 0.56 | val_AT 10.9459| nb_modif 3 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 37.4891 | Acc: 0.553889 AT 10.9061 | val_Acc 0.445 | val_AT 12.7547| nb_modif 4 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 37.5373 | Acc: 0.551667 AT 10.8039 | val_Acc 0.545 | val_AT 10.7738| nb_modif 4 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 37.5758 | Acc: 0.597222 AT 9.92667 | val_Acc 0.44 | val_AT 12.3689| nb_modif 3 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 37.6046 | Acc: 0.546667 AT 10.8144 | val_Acc 0.545 | val_AT 10.8218| nb_modif 4 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 37.6478 | Acc: 0.486667 AT 12.0017 | val_Acc 0.47 | val_AT 12.1641| nb_modif 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 37.6703 | Acc: 0.438333 AT 12.855 | val_Acc 0.335 | val_AT 14.4608| nb_modif 4 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 37.6942 | Acc: 0.421111 AT 13.115 | val_Acc 0.35 | val_AT 14.4123| nb_modif 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 37.7222 | Acc: 0.347222 AT 14.435 | val_Acc 0.365 | val_AT 14.1021| nb_modif 4 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 37.7398 | Acc: 0.477222 AT 12.4261 | val_Acc 0.565 | val_AT 10.8905| nb_modif 5 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 37.7513 | Acc: 0.513889 AT 11.7711 | val_Acc 0.545 | val_AT 10.9045| nb_modif 4 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 37.7588 | Acc: 0.519444 AT 11.6439 | val_Acc 0.535 | val_AT 11.2795| nb_modif 3 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 37.7677 | Acc: 0.568333 AT 10.8178 | val_Acc 0.6 | val_AT 10.3114| nb_modif 4 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 37.7758 | Acc: 0.575 AT 10.7117 | val_Acc 0.605 | val_AT 9.93156| nb_modif 4 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 37.7829 | Acc: 0.533889 AT 11.4633 | val_Acc 0.52 | val_AT 11.4247| nb_modif 4 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 37.7881 | Acc: 0.560556 AT 11.0933 | val_Acc 0.615 | val_AT 9.73712| nb_modif 3 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 37.7946 | Acc: 0.499444 AT 11.79 | val_Acc 0.535 | val_AT 10.9737| nb_modif 4 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 37.8006 | Acc: 0.522222 AT 11.2339 | val_Acc 0.625 | val_AT 9.47487| nb_modif 4 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 37.8047 | Acc: 0.563333 AT 10.5594 | val_Acc 0.48 | val_AT 11.9324| nb_modif 3 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 37.81 | Acc: 0.585556 AT 10.1072 | val_Acc 0.64 | val_AT 9.00966| nb_modif 4 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 37.8149 | Acc: 0.518889 AT 11.2622 | val_Acc 0.475 | val_AT 12.02| nb_modif 4 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 37.8196 | Acc: 0.560556 AT 10.6161 | val_Acc 0.55 | val_AT 10.7551| nb_modif 4 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 37.823 | Acc: 0.563889 AT 10.5867 | val_Acc 0.625 | val_AT 9.73378| nb_modif 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 37.8274 | Acc: 0.596111 AT 10.1994 | val_Acc 0.575 | val_AT 10.4437| nb_modif 4 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 37.8305 | Acc: 0.572778 AT 10.5833 | val_Acc 0.64 | val_AT 9.54222| nb_modif 3 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 37.8347 | Acc: 0.553889 AT 10.9278 | val_Acc 0.48 | val_AT 12.1127| nb_modif 4 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 37.8388 | Acc: 0.522778 AT 11.3294 | val_Acc 0.455 | val_AT 12.5306| nb_modif 4 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 37.844 | Acc: 0.473889 AT 12.1517 | val_Acc 0.555 | val_AT 10.9077| nb_modif 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 37.847 | Acc: 0.513889 AT 11.5183 | val_Acc 0.515 | val_AT 11.5395| nb_modif 3 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 37.8501 | Acc: 0.616111 AT 9.94222 | val_Acc 0.66 | val_AT 9.0577| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 37.8531 | Acc: 0.631667 AT 9.69333 | val_Acc 0.735 | val_AT 8.36029| nb_modif 3 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 37.8647 | Acc: 0.591111 AT 10.4733 | val_Acc 0.465 | val_AT 12.5868| nb_modif 4 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 37.8689 | Acc: 0.591111 AT 10.3494 | val_Acc 0.68 | val_AT 8.77293| nb_modif 4 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 37.871 | Acc: 0.738333 AT 7.57944 | val_Acc 0.75 | val_AT 7.31386| nb_modif 2 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 37.8742 | Acc: 0.811667 AT 6.14444 | val_Acc 0.765 | val_AT 6.74657| nb_modif 3 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 37.8776 | Acc: 0.758333 AT 6.83667 | val_Acc 0.7 | val_AT 7.62373| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 37.8799 | Acc: 0.715 AT 7.39833 | val_Acc 0.745 | val_AT 6.70812| nb_modif 2 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 37.8823 | Acc: 0.737778 AT 6.90333 | val_Acc 0.805 | val_AT 5.57854| nb_modif 2 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 37.9074 | Acc: 0.816667 AT 5.45444 | val_Acc 0.87 | val_AT 4.30289| nb_modif 2 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 37.91 | Acc: 0.832778 AT 5.09833 | val_Acc 0.86 | val_AT 4.40151| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 37.9138 | Acc: 0.796667 AT 5.64722 | val_Acc 0.835 | val_AT 4.83201| nb_modif 3 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 37.9162 | Acc: 0.787222 AT 5.86833 | val_Acc 0.835 | val_AT 4.94416| nb_modif 2 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 37.9198 | Acc: 0.768889 AT 6.22722 | val_Acc 0.8 | val_AT 5.53972| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 37.9233 | Acc: 0.750556 AT 6.46722 | val_Acc 0.74 | val_AT 6.3427| nb_modif 3 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 37.926 | Acc: 0.702778 AT 7.13667 | val_Acc 0.675 | val_AT 7.40671| nb_modif 2 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 37.9358 | Acc: 0.687222 AT 7.24778 | val_Acc 0.695 | val_AT 6.97703| nb_modif 3 | elaps: 0s
