Epoch 1/400: [===============] 100% | Error 5.52154 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7498 | Acc: 0.000555556 AT 19.9978 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.453 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.7638 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 28.4319 | Acc: 0.00222222 AT 19.9622 | val_Acc 0.015 | val_AT 19.745| nb_modif 5 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.6532 | Acc: 0.035 AT 19.4428 | val_Acc 0.05 | val_AT 19.1737| nb_modif 4 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 31.7636 | Acc: 0.115 AT 18.0828 | val_Acc 0.16 | val_AT 17.2509| nb_modif 4 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.3341 | Acc: 0.198889 AT 16.6172 | val_Acc 0.26 | val_AT 15.7763| nb_modif 4 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.6067 | Acc: 0.369444 AT 13.9072 | val_Acc 0.485 | val_AT 11.9139| nb_modif 3 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.8058 | Acc: 0.564444 AT 10.4533 | val_Acc 0.69 | val_AT 8.34457| nb_modif 3 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 32.8581 | Acc: 0.674444 AT 8.65889 | val_Acc 0.925 | val_AT 4.34172| nb_modif 1 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 32.9487 | Acc: 0.727222 AT 7.71 | val_Acc 0.75 | val_AT 7.23171| nb_modif 2 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 33.0323 | Acc: 0.717778 AT 7.845 | val_Acc 0.67 | val_AT 8.44616| nb_modif 2 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 33.0992 | Acc: 0.633333 AT 9.19222 | val_Acc 0.57 | val_AT 10.2772| nb_modif 2 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 33.1719 | Acc: 0.608889 AT 9.59444 | val_Acc 0.595 | val_AT 9.83139| nb_modif 2 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 33.2258 | Acc: 0.611667 AT 9.63611 | val_Acc 0.66 | val_AT 8.70416| nb_modif 2 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 33.3034 | Acc: 0.647778 AT 9.10611 | val_Acc 0.605 | val_AT 9.76352| nb_modif 3 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 33.3216 | Acc: 0.704444 AT 8.18944 | val_Acc 0.76 | val_AT 7.01882| nb_modif 1 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 33.3744 | Acc: 0.648889 AT 9.07778 | val_Acc 0.725 | val_AT 7.68509| nb_modif 3 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 33.4055 | Acc: 0.618333 AT 9.59944 | val_Acc 0.625 | val_AT 9.29843| nb_modif 2 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 33.4309 | Acc: 0.612778 AT 9.62889 | val_Acc 0.7 | val_AT 7.96149| nb_modif 2 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 33.4651 | Acc: 0.619444 AT 9.49667 | val_Acc 0.55 | val_AT 10.5348| nb_modif 3 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 33.4946 | Acc: 0.617222 AT 9.59833 | val_Acc 0.64 | val_AT 9.10267| nb_modif 3 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 33.5211 | Acc: 0.573889 AT 10.3033 | val_Acc 0.465 | val_AT 12.1005| nb_modif 3 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 33.5368 | Acc: 0.566667 AT 10.5428 | val_Acc 0.625 | val_AT 9.6055| nb_modif 2 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 33.5571 | Acc: 0.557222 AT 10.8622 | val_Acc 0.505 | val_AT 11.888| nb_modif 3 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 33.575 | Acc: 0.585 AT 10.4656 | val_Acc 0.585 | val_AT 10.4494| nb_modif 3 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 33.5863 | Acc: 0.579444 AT 10.5389 | val_Acc 0.605 | val_AT 10.0922| nb_modif 2 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 33.6144 | Acc: 0.58 AT 10.5694 | val_Acc 0.465 | val_AT 12.3455| nb_modif 3 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 33.6243 | Acc: 0.525 AT 11.3739 | val_Acc 0.485 | val_AT 12.1167| nb_modif 2 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 33.6367 | Acc: 0.492778 AT 11.8394 | val_Acc 0.465 | val_AT 12.2556| nb_modif 3 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 33.6475 | Acc: 0.499444 AT 11.7656 | val_Acc 0.415 | val_AT 13.0163| nb_modif 3 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 33.6576 | Acc: 0.475 AT 12.225 | val_Acc 0.48 | val_AT 12.1951| nb_modif 3 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 33.6666 | Acc: 0.512778 AT 11.5672 | val_Acc 0.465 | val_AT 12.321| nb_modif 3 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 33.6869 | Acc: 0.509444 AT 11.6667 | val_Acc 0.605 | val_AT 10.2216| nb_modif 3 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 33.692 | Acc: 0.503333 AT 11.7517 | val_Acc 0.415 | val_AT 13.2861| nb_modif 2 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 33.6996 | Acc: 0.496111 AT 11.8161 | val_Acc 0.465 | val_AT 12.2364| nb_modif 3 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 33.7196 | Acc: 0.468889 AT 12.3072 | val_Acc 0.495 | val_AT 11.7212| nb_modif 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 33.7461 | Acc: 0.397778 AT 13.3989 | val_Acc 0.445 | val_AT 12.5936| nb_modif 3 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 33.7734 | Acc: 0.396667 AT 13.3956 | val_Acc 0.35 | val_AT 14.178| nb_modif 3 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 33.7794 | Acc: 0.370556 AT 13.8278 | val_Acc 0.35 | val_AT 14.1359| nb_modif 3 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 33.7849 | Acc: 0.448333 AT 12.5467 | val_Acc 0.41 | val_AT 13.1257| nb_modif 3 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 33.79 | Acc: 0.485 AT 11.9406 | val_Acc 0.505 | val_AT 11.6706| nb_modif 3 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 33.7951 | Acc: 0.49 AT 11.8944 | val_Acc 0.415 | val_AT 12.9584| nb_modif 3 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 33.7999 | Acc: 0.456111 AT 12.3256 | val_Acc 0.385 | val_AT 13.4398| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 33.8043 | Acc: 0.432222 AT 12.7122 | val_Acc 0.375 | val_AT 13.6322| nb_modif 3 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 33.8071 | Acc: 0.463889 AT 12.1867 | val_Acc 0.475 | val_AT 11.9182| nb_modif 2 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 33.811 | Acc: 0.483333 AT 11.93 | val_Acc 0.54 | val_AT 11.0446| nb_modif 3 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 33.8135 | Acc: 0.473889 AT 12.0428 | val_Acc 0.505 | val_AT 11.3902| nb_modif 2 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 33.8172 | Acc: 0.46 AT 12.3544 | val_Acc 0.615 | val_AT 9.69695| nb_modif 3 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 33.8209 | Acc: 0.513333 AT 11.4411 | val_Acc 0.53 | val_AT 11.0435| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 33.8232 | Acc: 0.534444 AT 11.0439 | val_Acc 0.525 | val_AT 11.1802| nb_modif 2 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 33.8267 | Acc: 0.563333 AT 10.5517 | val_Acc 0.63 | val_AT 9.1909| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 33.8289 | Acc: 0.581111 AT 10.1522 | val_Acc 0.49 | val_AT 11.856| nb_modif 2 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 33.8312 | Acc: 0.602778 AT 9.80778 | val_Acc 0.585 | val_AT 10.1693| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 33.8334 | Acc: 0.607222 AT 9.87111 | val_Acc 0.58 | val_AT 10.4108| nb_modif 2 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 33.8366 | Acc: 0.589444 AT 10.195 | val_Acc 0.635 | val_AT 9.36205| nb_modif 3 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 33.8397 | Acc: 0.611667 AT 9.725 | val_Acc 0.62 | val_AT 9.53681| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 33.8418 | Acc: 0.587222 AT 10.0833 | val_Acc 0.545 | val_AT 10.9077| nb_modif 2 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 33.8449 | Acc: 0.548333 AT 10.8533 | val_Acc 0.475 | val_AT 12.0995| nb_modif 3 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 33.848 | Acc: 0.5 AT 11.6194 | val_Acc 0.395 | val_AT 13.4205| nb_modif 3 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 33.8748 | Acc: 0.412222 AT 13.1622 | val_Acc 0.33 | val_AT 14.4421| nb_modif 4 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 33.8779 | Acc: 0.354444 AT 14.1489 | val_Acc 0.35 | val_AT 14.3222| nb_modif 3 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 33.88 | Acc: 0.403333 AT 13.3356 | val_Acc 0.37 | val_AT 13.9666| nb_modif 2 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 33.8833 | Acc: 0.47 AT 12.1522 | val_Acc 0.465 | val_AT 12.1048| nb_modif 3 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 33.8866 | Acc: 0.492778 AT 11.83 | val_Acc 0.545 | val_AT 10.9155| nb_modif 3 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 33.8889 | Acc: 0.51 AT 11.4494 | val_Acc 0.56 | val_AT 10.7446| nb_modif 2 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 33.8922 | Acc: 0.585 AT 10.13 | val_Acc 0.64 | val_AT 9.06872| nb_modif 3 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 33.8933 | Acc: 0.620556 AT 9.42444 | val_Acc 0.685 | val_AT 8.05534| nb_modif 1 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 33.8956 | Acc: 0.687222 AT 8.21444 | val_Acc 0.695 | val_AT 8.11028| nb_modif 2 | elaps: 0s
Epoch 71/400: [===============] 100% | Error 33.8978 | Acc: 0.757778 AT 6.90944 | val_Acc 0.73 | val_AT 7.29055| nb_modif 2 | elaps: 0s
Epoch 72/400: [===============] 100% | Error 33.8989 | Acc: 0.805556 AT 5.96722 | val_Acc 0.8 | val_AT 5.87645| nb_modif 1 | elaps: 0s
Epoch 73/400: [===============] 100% | Error 33.901 | Acc: 0.841111 AT 5.27778 | val_Acc 0.82 | val_AT 5.49938| nb_modif 2 | elaps: 0s
Epoch 74/400: [===============] 100% | Error 33.9032 | Acc: 0.832778 AT 5.36 | val_Acc 0.785 | val_AT 6.0725| nb_modif 2 | elaps: 0s
Epoch 75/400: [===============] 100% | Error 33.9101 | Acc: 0.8 AT 5.86722 | val_Acc 0.79 | val_AT 6.03536| nb_modif 2 | elaps: 0s
Epoch 76/400: [===============] 100% | Error 33.9122 | Acc: 0.788333 AT 6.05278 | val_Acc 0.75 | val_AT 6.59518| nb_modif 2 | elaps: 0s
Epoch 77/400: [===============] 100% | Error 33.9562 | Acc: 0.735 AT 6.90889 | val_Acc 0.755 | val_AT 6.49798| nb_modif 2 | elaps: 0s
Epoch 78/400: [===============] 100% | Error 33.9572 | Acc: 0.742778 AT 6.745 | val_Acc 0.705 | val_AT 7.26249| nb_modif 1 | elaps: 0s
Epoch 79/400: [===============] 100% | Error 33.9593 | Acc: 0.723889 AT 7.00556 | val_Acc 0.73 | val_AT 6.94631| nb_modif 2 | elaps: 0s
Epoch 80/400: [===============] 100% | Error 33.9604 | Acc: 0.777778 AT 6.07778 | val_Acc 0.805 | val_AT 5.51973| nb_modif 1 | elaps: 0s
Epoch 81/400: [===============] 100% | Error 33.9614 | Acc: 0.807222 AT 5.48389 | val_Acc 0.795 | val_AT 5.5326| nb_modif 1 | elaps: 0s
Epoch 82/400: [===============] 100% | Error 33.9852 | Acc: 0.82 AT 5.23667 | val_Acc 0.84 | val_AT 4.77766| nb_modif 1 | elaps: 0s
Epoch 83/400: [===============] 100% | Error 33.9862 | Acc: 0.851111 AT 4.62389 | val_Acc 0.835 | val_AT 4.76889| nb_modif 1 | elaps: 0s
Epoch 84/400: [===============] 100% | Error 33.9872 | Acc: 0.871667 AT 4.24 | val_Acc 0.885 | val_AT 3.97384| nb_modif 1 | elaps: 0s
Epoch 85/400: [===============] 100% | Error 33.9883 | Acc: 0.896667 AT 3.785 | val_Acc 0.895 | val_AT 3.82487| nb_modif 1 | elaps: 0s
Epoch 86/400: [===============] 100% | Error 34.0477 | Acc: 0.876667 AT 4.11056 | val_Acc 0.885 | val_AT 3.84412| nb_modif 2 | elaps: 0s
Epoch 87/400: [===============] 100% | Error 34.0487 | Acc: 0.872222 AT 4.12111 | val_Acc 0.85 | val_AT 4.48922| nb_modif 1 | elaps: 0s
Epoch 88/400: [===============] 100% | Error 34.0498 | Acc: 0.848333 AT 4.53 | val_Acc 0.845 | val_AT 4.45245| nb_modif 1 | elaps: 0s
