Epoch 1/400: [===============] 100% | Error 8.4255 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 18.3148 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 29.2579 | Acc: 0.00111111 AT 19.9928 | val_Acc 0 | val_AT 20| nb_modif 6 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 36.8348 | Acc: 0.0116667 AT 19.9217 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 41.3095 | Acc: 0.0127778 AT 19.8744 | val_Acc 0.05 | val_AT 19.335| nb_modif 9 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 42.7216 | Acc: 0.200556 AT 16.765 | val_Acc 0.33 | val_AT 14.5467| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 43.3863 | Acc: 0.391667 AT 13.5072 | val_Acc 0.42 | val_AT 12.9377| nb_modif 6 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 43.7422 | Acc: 0.492778 AT 11.9506 | val_Acc 0.525 | val_AT 11.5797| nb_modif 6 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 43.969 | Acc: 0.473333 AT 12.6522 | val_Acc 0.4 | val_AT 13.8829| nb_modif 6 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 44.1324 | Acc: 0.464444 AT 12.8156 | val_Acc 0.42 | val_AT 13.2344| nb_modif 6 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 44.2341 | Acc: 0.376667 AT 14.0844 | val_Acc 0.34 | val_AT 14.5912| nb_modif 6 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 44.2947 | Acc: 0.395 AT 13.8683 | val_Acc 0.415 | val_AT 13.808| nb_modif 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 44.3569 | Acc: 0.386111 AT 14.0606 | val_Acc 0.285 | val_AT 15.654| nb_modif 7 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 44.4017 | Acc: 0.287222 AT 15.5556 | val_Acc 0.255 | val_AT 16.0183| nb_modif 7 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 44.4565 | Acc: 0.239444 AT 16.3428 | val_Acc 0.255 | val_AT 16.1301| nb_modif 7 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 44.4848 | Acc: 0.257778 AT 16.13 | val_Acc 0.28 | val_AT 15.8457| nb_modif 7 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 44.5568 | Acc: 0.298333 AT 15.4689 | val_Acc 0.42 | val_AT 13.6742| nb_modif 6 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 44.5737 | Acc: 0.367222 AT 14.2806 | val_Acc 0.34 | val_AT 14.8234| nb_modif 6 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 44.6002 | Acc: 0.346111 AT 14.6644 | val_Acc 0.29 | val_AT 15.5691| nb_modif 6 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 44.6135 | Acc: 0.33 AT 14.9889 | val_Acc 0.305 | val_AT 15.4628| nb_modif 6 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 44.6653 | Acc: 0.340556 AT 14.8667 | val_Acc 0.35 | val_AT 14.9223| nb_modif 6 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 44.676 | Acc: 0.377778 AT 14.3544 | val_Acc 0.41 | val_AT 13.7146| nb_modif 6 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 44.6841 | Acc: 0.438889 AT 13.3 | val_Acc 0.385 | val_AT 14.2036| nb_modif 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 44.6933 | Acc: 0.363333 AT 14.4494 | val_Acc 0.315 | val_AT 15.331| nb_modif 6 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 44.7225 | Acc: 0.34 AT 14.8444 | val_Acc 0.26 | val_AT 16.1117| nb_modif 7 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 44.7307 | Acc: 0.243333 AT 16.2678 | val_Acc 0.225 | val_AT 16.5506| nb_modif 6 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 44.7382 | Acc: 0.229444 AT 16.5217 | val_Acc 0.225 | val_AT 16.5528| nb_modif 6 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 44.7886 | Acc: 0.192778 AT 17.0439 | val_Acc 0.265 | val_AT 15.8228| nb_modif 7 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 44.7952 | Acc: 0.247222 AT 16.1644 | val_Acc 0.215 | val_AT 16.6341| nb_modif 6 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 44.8243 | Acc: 0.317778 AT 15.1222 | val_Acc 0.315 | val_AT 14.9532| nb_modif 6 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 44.8307 | Acc: 0.317778 AT 15.0044 | val_Acc 0.34 | val_AT 14.5798| nb_modif 6 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 44.8371 | Acc: 0.303333 AT 15.1672 | val_Acc 0.36 | val_AT 14.2329| nb_modif 6 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 44.8424 | Acc: 0.4 AT 13.6828 | val_Acc 0.435 | val_AT 13.0712| nb_modif 5 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 44.8489 | Acc: 0.431111 AT 13.2089 | val_Acc 0.415 | val_AT 13.4304| nb_modif 6 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 44.8555 | Acc: 0.395556 AT 13.7644 | val_Acc 0.345 | val_AT 14.6772| nb_modif 6 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 44.8611 | Acc: 0.371667 AT 13.8889 | val_Acc 0.44 | val_AT 12.7334| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 44.8658 | Acc: 0.451667 AT 12.3061 | val_Acc 0.58 | val_AT 10.2087| nb_modif 4 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 44.8926 | Acc: 0.575 AT 10.0517 | val_Acc 0.61 | val_AT 9.26604| nb_modif 4 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 44.9187 | Acc: 0.661111 AT 8.45833 | val_Acc 0.725 | val_AT 7.13133| nb_modif 3 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 44.9215 | Acc: 0.744444 AT 6.97611 | val_Acc 0.805 | val_AT 5.82566| nb_modif 2 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 44.9485 | Acc: 0.776111 AT 6.34 | val_Acc 0.81 | val_AT 5.63913| nb_modif 3 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 44.9741 | Acc: 0.765556 AT 6.37944 | val_Acc 0.835 | val_AT 4.8482| nb_modif 2 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 44.9794 | Acc: 0.773889 AT 6.06611 | val_Acc 0.81 | val_AT 5.20924| nb_modif 3 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 44.9822 | Acc: 0.799444 AT 5.50722 | val_Acc 0.805 | val_AT 5.13105| nb_modif 2 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 45.0231 | Acc: 0.761111 AT 6.05778 | val_Acc 0.785 | val_AT 5.35566| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 45.0281 | Acc: 0.73 AT 6.50333 | val_Acc 0.76 | val_AT 5.74678| nb_modif 4 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 45.1078 | Acc: 0.682222 AT 7.28167 | val_Acc 0.72 | val_AT 6.47873| nb_modif 3 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 45.1349 | Acc: 0.665 AT 7.52667 | val_Acc 0.71 | val_AT 6.63239| nb_modif 3 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 45.1616 | Acc: 0.688889 AT 7.12556 | val_Acc 0.695 | val_AT 6.92816| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 45.1642 | Acc: 0.72 AT 6.50444 | val_Acc 0.73 | val_AT 6.21464| nb_modif 2 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 45.1667 | Acc: 0.740556 AT 6.10333 | val_Acc 0.76 | val_AT 5.64607| nb_modif 2 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 45.1918 | Acc: 0.803333 AT 4.955 | val_Acc 0.84 | val_AT 4.16823| nb_modif 2 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 45.1944 | Acc: 0.82 AT 4.60722 | val_Acc 0.835 | val_AT 4.22084| nb_modif 2 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 45.197 | Acc: 0.830556 AT 4.42278 | val_Acc 0.865 | val_AT 3.7311| nb_modif 2 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 45.1994 | Acc: 0.860556 AT 3.89167 | val_Acc 0.88 | val_AT 3.44366| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 45.2018 | Acc: 0.873889 AT 3.65833 | val_Acc 0.875 | val_AT 3.56222| nb_modif 2 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 45.204 | Acc: 0.849444 AT 4.05167 | val_Acc 0.86 | val_AT 3.82281| nb_modif 2 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 45.2065 | Acc: 0.823889 AT 4.54944 | val_Acc 0.805 | val_AT 4.84911| nb_modif 2 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 45.2098 | Acc: 0.801667 AT 4.98167 | val_Acc 0.805 | val_AT 4.85925| nb_modif 3 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 45.2154 | Acc: 0.775 AT 5.46167 | val_Acc 0.775 | val_AT 5.4043| nb_modif 3 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 45.2196 | Acc: 0.754444 AT 5.81667 | val_Acc 0.75 | val_AT 5.84702| nb_modif 4 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 45.2226 | Acc: 0.744444 AT 6.02889 | val_Acc 0.74 | val_AT 6.08424| nb_modif 3 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 45.2267 | Acc: 0.718333 AT 6.52667 | val_Acc 0.705 | val_AT 6.70042| nb_modif 4 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 45.2299 | Acc: 0.681111 AT 7.16833 | val_Acc 0.645 | val_AT 7.7635| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 45.2885 | Acc: 0.668333 AT 7.38444 | val_Acc 0.68 | val_AT 7.15882| nb_modif 4 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 45.2907 | Acc: 0.680556 AT 7.18778 | val_Acc 0.7 | val_AT 6.75079| nb_modif 2 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 45.2941 | Acc: 0.693889 AT 6.95278 | val_Acc 0.7 | val_AT 6.81375| nb_modif 3 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 45.32 | Acc: 0.7 AT 6.91222 | val_Acc 0.7 | val_AT 6.82907| nb_modif 3 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 45.3234 | Acc: 0.69 AT 7.12667 | val_Acc 0.695 | val_AT 6.94915| nb_modif 3 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 45.3266 | Acc: 0.7 AT 6.91833 | val_Acc 0.685 | val_AT 7.09975| nb_modif 3 | elaps: 0s
