Epoch 1/400: [===============] 100% | Error 8.36322 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9| nb_modif 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.5726 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 23.4839 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 31.4564 | Acc: 0.00388889 AT 19.9694 | val_Acc 0 | val_AT 20| nb_modif 6 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 36.3913 | Acc: 0.02 AT 19.7956 | val_Acc 0.03 | val_AT 19.55| nb_modif 7 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 38.5956 | Acc: 0.0816667 AT 18.7628 | val_Acc 0.15 | val_AT 17.5678| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 39.4115 | Acc: 0.273889 AT 15.7222 | val_Acc 0.395 | val_AT 13.6178| nb_modif 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 39.9225 | Acc: 0.422222 AT 13.2456 | val_Acc 0.43 | val_AT 12.9831| nb_modif 6 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 40.1806 | Acc: 0.368889 AT 14.0283 | val_Acc 0.425 | val_AT 13.0049| nb_modif 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 40.3254 | Acc: 0.497222 AT 12.0583 | val_Acc 0.525 | val_AT 11.58| nb_modif 4 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 40.4503 | Acc: 0.496111 AT 12.1011 | val_Acc 0.47 | val_AT 12.5879| nb_modif 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 40.5431 | Acc: 0.388889 AT 13.8878 | val_Acc 0.41 | val_AT 13.4629| nb_modif 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 40.613 | Acc: 0.369444 AT 14.3367 | val_Acc 0.365 | val_AT 14.5523| nb_modif 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 40.7024 | Acc: 0.343333 AT 14.8428 | val_Acc 0.285 | val_AT 15.8428| nb_modif 6 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 40.739 | Acc: 0.276111 AT 15.8372 | val_Acc 0.275 | val_AT 15.7892| nb_modif 5 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 40.802 | Acc: 0.226667 AT 16.5261 | val_Acc 0.24 | val_AT 16.5289| nb_modif 6 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 40.8311 | Acc: 0.226667 AT 16.705 | val_Acc 0.17 | val_AT 17.4976| nb_modif 6 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 40.8535 | Acc: 0.201667 AT 17.0117 | val_Acc 0.18 | val_AT 17.1925| nb_modif 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 40.8992 | Acc: 0.195556 AT 17.0489 | val_Acc 0.145 | val_AT 17.741| nb_modif 6 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 40.9325 | Acc: 0.254444 AT 16.1689 | val_Acc 0.28 | val_AT 15.9487| nb_modif 5 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 40.9704 | Acc: 0.285 AT 15.8667 | val_Acc 0.295 | val_AT 15.8297| nb_modif 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 41.0026 | Acc: 0.335 AT 15.1322 | val_Acc 0.2 | val_AT 17.0591| nb_modif 6 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 41.0166 | Acc: 0.18 AT 17.4389 | val_Acc 0.145 | val_AT 17.8403| nb_modif 6 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 41.0268 | Acc: 0.117778 AT 18.3006 | val_Acc 0.13 | val_AT 18.1392| nb_modif 5 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 41.0598 | Acc: 0.207778 AT 16.915 | val_Acc 0.24 | val_AT 16.3907| nb_modif 6 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 41.0693 | Acc: 0.252778 AT 16.2717 | val_Acc 0.265 | val_AT 15.942| nb_modif 6 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 41.0999 | Acc: 0.257222 AT 16.1639 | val_Acc 0.225 | val_AT 16.5797| nb_modif 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 41.1088 | Acc: 0.241111 AT 16.4156 | val_Acc 0.19 | val_AT 17.1129| nb_modif 6 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 41.1511 | Acc: 0.254444 AT 16.2833 | val_Acc 0.245 | val_AT 16.2106| nb_modif 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 41.1576 | Acc: 0.227778 AT 16.6222 | val_Acc 0.195 | val_AT 17.1011| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 41.1639 | Acc: 0.249444 AT 16.3122 | val_Acc 0.31 | val_AT 15.4055| nb_modif 5 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 41.1701 | Acc: 0.313889 AT 15.3644 | val_Acc 0.305 | val_AT 15.402| nb_modif 5 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 41.1758 | Acc: 0.330556 AT 15.0989 | val_Acc 0.295 | val_AT 15.547| nb_modif 5 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 41.1814 | Acc: 0.305556 AT 15.3283 | val_Acc 0.31 | val_AT 15.4427| nb_modif 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 41.1868 | Acc: 0.307222 AT 15.2611 | val_Acc 0.295 | val_AT 15.5772| nb_modif 5 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 41.1923 | Acc: 0.305556 AT 15.2978 | val_Acc 0.35 | val_AT 14.4979| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 41.2204 | Acc: 0.307778 AT 15.1878 | val_Acc 0.32 | val_AT 14.9325| nb_modif 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 41.2257 | Acc: 0.33 AT 14.7972 | val_Acc 0.325 | val_AT 14.8847| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 41.2289 | Acc: 0.422778 AT 13.2361 | val_Acc 0.48 | val_AT 12.2994| nb_modif 3 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 41.232 | Acc: 0.553333 AT 10.9306 | val_Acc 0.615 | val_AT 9.8915| nb_modif 3 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 41.2556 | Acc: 0.582222 AT 10.3389 | val_Acc 0.63 | val_AT 9.50946| nb_modif 4 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 41.2587 | Acc: 0.645 AT 9.22167 | val_Acc 0.655 | val_AT 8.97255| nb_modif 3 | elaps: 0s
