Epoch 1/400: [===============] 100% | Error 11.1738 | Acc: 0.000555556 AT 19.9772 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 21.8342 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 38.623 | Acc: 0.00111111 AT 19.9944 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 50.9849 | Acc: 0.00555556 AT 19.9533 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 57.0449 | Acc: 0.0138889 AT 19.8106 | val_Acc 0.185 | val_AT 17.36| nb_modif 11 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 59.3091 | Acc: 0.223333 AT 16.6494 | val_Acc 0.415 | val_AT 13.6168| nb_modif 10 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 60.2691 | Acc: 0.355556 AT 14.4606 | val_Acc 0.335 | val_AT 14.5481| nb_modif 9 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 60.7502 | Acc: 0.343889 AT 14.6422 | val_Acc 0.395 | val_AT 13.6327| nb_modif 8 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 61.0652 | Acc: 0.33 AT 14.8511 | val_Acc 0.425 | val_AT 13.4932| nb_modif 9 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 61.2478 | Acc: 0.365556 AT 14.4872 | val_Acc 0.375 | val_AT 14.1925| nb_modif 8 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 61.3801 | Acc: 0.318889 AT 15.1333 | val_Acc 0.19 | val_AT 17.066| nb_modif 9 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 61.4767 | Acc: 0.287778 AT 15.7689 | val_Acc 0.425 | val_AT 14.2103| nb_modif 8 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 61.5662 | Acc: 0.262222 AT 16.3494 | val_Acc 0.145 | val_AT 18.0311| nb_modif 9 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 61.6388 | Acc: 0.151111 AT 17.7511 | val_Acc 0.155 | val_AT 17.6002| nb_modif 9 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 61.6784 | Acc: 0.196667 AT 17.0256 | val_Acc 0.18 | val_AT 17.323| nb_modif 9 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 61.7096 | Acc: 0.263889 AT 16.0789 | val_Acc 0.17 | val_AT 17.5466| nb_modif 9 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 61.7358 | Acc: 0.112222 AT 18.2517 | val_Acc 0.14 | val_AT 17.8727| nb_modif 9 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 61.7547 | Acc: 0.217778 AT 16.5733 | val_Acc 0.205 | val_AT 16.9044| nb_modif 8 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 61.7714 | Acc: 0.262778 AT 15.9656 | val_Acc 0.285 | val_AT 15.6195| nb_modif 8 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 61.7839 | Acc: 0.325 AT 15.1744 | val_Acc 0.32 | val_AT 15.3131| nb_modif 7 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 61.7981 | Acc: 0.276667 AT 15.85 | val_Acc 0.215 | val_AT 16.7166| nb_modif 9 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 61.8176 | Acc: 0.258333 AT 15.9828 | val_Acc 0.255 | val_AT 15.9536| nb_modif 7 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 61.8281 | Acc: 0.255 AT 16.14 | val_Acc 0.215 | val_AT 16.8248| nb_modif 8 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 61.8365 | Acc: 0.32 AT 15.1622 | val_Acc 0.315 | val_AT 15.1941| nb_modif 7 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 61.8685 | Acc: 0.322778 AT 15.0428 | val_Acc 0.29 | val_AT 15.421| nb_modif 8 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 61.8764 | Acc: 0.348333 AT 14.4728 | val_Acc 0.3 | val_AT 15.2821| nb_modif 7 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 61.8851 | Acc: 0.242778 AT 16.15 | val_Acc 0.215 | val_AT 16.6464| nb_modif 8 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 61.8938 | Acc: 0.299444 AT 15.3139 | val_Acc 0.315 | val_AT 14.8732| nb_modif 8 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 61.9468 | Acc: 0.324444 AT 14.8078 | val_Acc 0.38 | val_AT 13.8944| nb_modif 7 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 61.9551 | Acc: 0.324444 AT 14.6739 | val_Acc 0.295 | val_AT 15.0745| nb_modif 7 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 61.9628 | Acc: 0.347778 AT 14.3356 | val_Acc 0.315 | val_AT 14.7054| nb_modif 7 | elaps: 0s
