diseases,glob_symp
0,"[772, 987, 104, 166, 624, 541, 524, 634, 233, 292]"
1,"[829, 945, 892, 421, 607, 331, 251, 87, 359]"
2,"[747, 956, 1101, 713, 1051, 874, 767, 1012, 757, 1120, 729, 405, 542, 20, 225, 176, 540]"
3,"[702, 737, 1028, 870, 832, 935, 1109, 767, 1130, 918, 289, 372, 200, 111, 245, 565, 607, 464, 331, 251, 87, 477]"
4,"[839, 892, 767, 700, 1056, 689, 289, 245, 190, 607, 331, 192, 39, 360, 141, 477, 388, 418, 489]"
5,"[773, 832, 291, 308, 443, 661, 553, 135, 27]"
6,"[747, 1091, 832, 713, 773, 874, 847, 1067, 1026, 945, 157, 73, 39, 159, 534, 374, 429, 597]"
7,"[1083, 1054, 773, 821, 705, 28, 32, 289, 208]"
8,"[832, 763, 1066, 893, 200, 683, 653, 349]"
9,"[956, 362, 94, 205, 129, 126]"
10,"[1028, 1090, 812, 796, 966, 1024, 790, 941, 864, 649, 32, 464, 542]"
11,"[785, 438, 410, 494, 33]"
12,"[832, 992, 35, 672, 73, 190, 436, 87, 272, 399]"
13,"[865, 1036, 1054, 907, 832, 774, 650, 98, 93, 203, 73, 631, 159, 395, 417, 116, 193, 107, 510, 242, 241, 366, 522, 6, 333]"
14,"[907, 761, 1050, 1065, 1129, 111, 517, 169, 245, 472, 607, 331, 251, 437, 87, 412, 77, 366, 542, 32, 383]"
15,"[1086, 959, 799, 698, 472, 73, 141, 169]"
16,"[848, 705, 245, 28, 464, 552, 235, 542, 477, 529]"
17,"[1028, 837, 773, 904, 1092, 525, 425, 335, 0, 592]"
18,"[1028, 988, 832, 892, 773, 767, 1056, 803, 945, 419, 245, 372, 607, 331, 400, 112]"
19,"[829, 1028, 772, 1054, 903, 841, 750, 926, 200, 246, 555, 464, 331, 197, 118]"
20,"[980, 795, 832, 694, 839, 245, 158, 229, 380, 470, 526, 352, 377, 186, 398, 580, 507]"
21,"[1028, 711, 772, 892, 887, 834, 945, 448, 267, 466, 54, 523, 607, 277, 464, 331, 131, 208, 154, 542, 169, 664, 341, 441]"
22,"[904, 749, 1112, 832, 767, 839, 650, 245, 13, 39, 576, 453, 678, 113, 219, 412, 482]"
23,"[1028, 841, 932, 705, 380, 576, 73, 607, 464, 337, 331, 251, 87, 517, 186, 412, 398, 542, 282, 629, 508]"
24,"[839, 832, 687, 713, 767, 405, 245, 576, 396, 39, 464, 542]"
25,"[1028, 832, 1095, 767, 705, 650, 240, 245, 204, 464, 626, 678, 34, 412, 309]"
26,"[737, 962, 868, 835, 1050, 834, 289, 515, 605, 618, 464, 582, 577, 83, 610, 163]"
27,"[1047, 1153, 1142, 1028, 832, 892, 767, 989, 945, 168, 419, 245, 149, 70, 607, 331, 418, 372, 118]"
28,"[1071, 705, 1028, 925, 812, 1054, 1123, 945, 111, 251, 186, 464, 32]"
29,"[940, 832, 701, 1057, 748, 835, 887, 864, 344, 607, 331, 577, 649, 163]"
30,"[761, 832, 1056, 1065, 1129, 945, 111, 472, 190, 607, 331, 39, 519, 87, 77, 542, 388, 191, 568]"
31,"[1047, 772, 707, 1012, 871, 945, 70, 7, 607, 345, 331, 357]"
32,"[983, 480, 328, 188, 398, 603, 369]"
33,"[956, 1121, 832, 950, 1050, 1102, 1129, 945, 104, 323, 190, 391, 30, 52, 201]"
34,"[1030, 743, 608, 607, 563, 619, 386, 249, 527, 208, 398, 630, 664, 639]"
35,"[859, 547, 85, 670, 618, 527, 562, 130, 520, 263, 101]"
